neighborhood,name,rating,review_count,price,latitude,longitude,category,parent_category
Central Park,Pizza Pete's,3.5,148,$,40.7862219,-73.9726035,pizza,restaurants
Central Park,Russ & Daughters at the Jewish Museum,3.5,108,$$,40.7854,-73.95719,kosher,restaurants
Central Park,Osteria Cotta,4.0,866,$$,40.785540000000005,-73.97263000000001,italian,restaurants
Central Park,Butterfield Market,4.0,120,$$,40.774159999999995,-73.95966,markets,gourmet
Central Park,Blockheads,3.5,254,$$,40.790619,-73.972507,mexican,restaurants
Central Park,Don Filippo Restaurant,3.5,148,$,40.774562,-73.958892,pizza,restaurants
Central Park,The Wright,3.5,74,$$$,40.78301,-73.95912,newamerican,restaurants
Central Park,Lexington Candy Shop,3.0,236,$$,40.777514032949,-73.957086053283,sandwiches,restaurants
Central Park,New York Hot Dogs,4.5,11,$,40.77942,-73.96342,hotdog,restaurants
Central Park,Amber Upper East,3.5,222,$$,40.7749519655958,-73.95706129976341,japanese,restaurants
Central Park,Nectar,3.0,151,$$,40.778172999999995,-73.961056,greek,restaurants
Central Park,Giovanni Venti Cinque,3.5,75,$$,40.7791457515481,-73.9602393558197,italian,restaurants
Central Park,Tiramisu,3.5,178,$$,40.775153510542296,-73.9569666,italian,restaurants
Central Park,Tal Bagels,3.0,223,$$,40.777654398833,-73.95705686108,breakfast_brunch,restaurants
Central Park,The Cafeteria at The Met,2.5,63,$$,40.779165500000005,-73.96292779999999,cafeteria,restaurants
Central Park,E.A.T.,2.5,318,$$,40.77737,-73.96154,breakfast_brunch,restaurants
Central Park,Wrap-N-Run,3.5,123,$,40.774368,-73.959106,burgers,restaurants
Central Park,Ashoka Indian Restaurant,4.5,240,$$,40.78477,-73.973027,indpak,restaurants
Central Park,Saba's Pizza Upper East,3.5,72,$,40.777066999999995,-73.95715,pizza,restaurants
Central Park,Eli's Night Shift,4.0,83,$$,40.774382,-73.957604,cafes,restaurants
Central Park,PortuGrill NYC,4.0,50,,40.777071,-73.957166,portuguese,restaurants
Central Park,H&H Bagels,2.5,173,$$,40.786173100000006,-73.97264129999999,bagels,food
Central Park,Due,4.0,72,$$$,40.77466,-73.95724,italian,restaurants
Central Park,Luke's Bar and Grill,3.5,137,$$,40.77467,-73.95735,tradamerican,restaurants
Central Park,Three Guys Restaurant,3.0,93,$$,40.7741355895996,-73.9640731811523,tradamerican,restaurants
Central Park,Columbus Cafe,3.5,50,$,40.7871557982131,-73.97193464304509,bagels,food
Central Park,Nectar Coffee Shop,2.5,86,$$,40.776184,-73.962417,sandwiches,restaurants
Central Park,Il Riccio,3.0,72,$$,40.77466,-73.95879000000001,italian,restaurants
Central Park,The New American Wing Cafe,2.0,32,$$,40.77942,-73.96342,cafes,restaurants
Central Park,Pasta Franco,3.5,17,,40.785672600000005,-73.9730167,italian,restaurants
Central Park,Parma,3.5,46,$$$,40.774925,-73.95721400000001,italian,restaurants
Central Park,Bar Pleiades,4.0,88,$$$,40.774440000000006,-73.96396,cafes,restaurants
Central Park,Paola's Osteria,4.5,6,,40.78318,-73.9573,italian,restaurants
Central Park,Parisian Deli,3.0,19,$,40.78521,-73.97288,delis,restaurants
Central Park,Shop Cooper Hewitt,4.0,5,$$,40.7842127186114,-73.9575945885109,cafes,restaurants
Central Park,Domino's Pizza,2.5,44,$,40.7882385,-73.9711075,pizza,restaurants
Central Park,Spice,2.5,52,$,40.790059899999996,-73.97351,chinese,restaurants
Central Park,Food Passion NY,3.5,14,,40.7766,-73.95796999999999,catering,eventservices
Central Park,The Carlyle Restaurant,4.0,78,$$$$,40.774190000000004,-73.96284,french,restaurants
Central Park,Thyme & Tonic,3.5,10,$$,40.784529,-73.973857,newamerican,restaurants
Central Park,Cafe Carlyle,3.5,100,$$$$,40.774369799999995,-73.96351949999999,jazzandblues,arts
Central Park,Moshe's Falafel,4.0,103,$,40.7572741280559,-73.9820981359181,falafel,mediterranean
Central Park,Kappo Masa,3.5,61,$$$$,40.7746468,-73.96353149999999,sushi,restaurants
Central Park,Koronet Pizza,4.5,33,,40.77408,-73.95969000000001,pizza,restaurants
Central Park,Tarallucci E Vino - Cooper Hewitt,3.0,9,$$,40.78416,-73.9576,italian,restaurants
Central Park,Eli's Bread,2.5,13,$$,40.777367,-73.96167,cafes,restaurants
Central Park,The Balcony Lounge,4.0,1,,40.77942,-73.96342,cafes,restaurants
Central Park,Eli's Essentials,2.5,20,$$$$,40.774542,-73.957438,burgers,restaurants
Central Park,Gyro Cart,5.0,1,,40.78461,-73.969824,foodstands,restaurants
Central Park,Ray Bono Pizza,2.5,21,$,40.77706,-73.9572,pizza,restaurants
Central Park,Lucky’s Famous Burgers,4.5,2,,40.7852,-73.972786,burgers,restaurants
Central Park,Café On One,1.5,8,$$$$,40.781451000000004,-73.973099,cafes,restaurants
Central Park,Pretzelcart,4.0,1,,40.7787645,-73.9621655,hotdogs,restaurants
Central Park,The Mark Hot Dog,5.0,1,,40.7751827569286,-73.96341175248541,hotdog,restaurants
Central Park,Mark's Restaurant and Bar,5.0,1,,40.7754525,-73.9637998,restaurants,
Central Park,Gyu-Kaku Japanese BBQ,4.0,10,,40.790459999999996,-73.97322,japanese,restaurants
Central Park,Winston Gourmet Deli,3.0,1,,40.78836,-73.97104,delis,restaurants
Chelsea,Los Tacos No.1,4.5,2951,$,40.7425547,-74.0060838,tacos,mexican
Chelsea,NY Pizza Suprema,4.0,2013,$,40.750205993652294,-73.9953231811523,pizza,restaurants
Chelsea,Brooklyn Bagel & Coffee Company,4.0,1428,$,40.746183,-73.997642,bagels,food
Chelsea,Blossom,4.0,1056,$$$,40.745513,-74.002365,vegan,restaurants
Chelsea,Los Mariscos,4.5,572,$,40.74207,-74.00565,seafood,restaurants
Chelsea,Very Fresh Noodles,4.5,991,$$,40.742338700848606,-74.00625,taiwanese,restaurants
Chelsea,Calle Dao - Chelsea,4.5,627,$$,40.747608,-74.003553,cuban,restaurants
Chelsea,Cafeteria,3.5,3302,$$,40.740567590122,-73.9980747946,newamerican,restaurants
Chelsea,Westville Chelsea,4.0,1115,$$,40.74175,-74.00007,newamerican,restaurants
Chelsea,Billy's Bakery,3.5,1222,$$,40.745323,-74.001861,bakeries,food
Chelsea,The Meatball Shop,4.0,876,$$,40.7459138,-74.0015369,italian,restaurants
Chelsea,Cull & Pistol Oyster Bar,4.0,635,$$,40.7426589397899,-74.0059285394953,seafood,restaurants
Chelsea,Lions & Tigers & Squares Detroit Pizza,4.0,423,$,40.745059999999995,-73.99834,pizza,restaurants
Chelsea,Excellent Dumpling House,4.0,618,$$,40.744049439635795,-73.995028194335,dimsum,chinese
Chelsea,Momoya,4.0,642,$$,40.7426255196333,-73.9966481924057,sushi,restaurants
Chelsea,Riko Peruvian Cuisine,4.0,721,$$,40.750076,-73.99542199999999,peruvian,restaurants
Chelsea,Pepe Giallo,4.0,647,$$,40.7468940064083,-74.0049896784992,italian,restaurants
Chelsea,Porteno Restaurant,4.0,375,$$$,40.750499,-74.002525,argentine,restaurants
Chelsea,Hao Noodle Chelsea,4.5,389,$$,40.7406999,-74.00435999999999,chinese,restaurants
Chelsea,Foragers Table,4.0,550,$$,40.744541,-73.9990926,breakfast_brunch,restaurants
Chelsea,Café Grumpy,4.0,706,$,40.742571000000005,-73.998391,cafes,restaurants
Chelsea,Artichoke Basille's Pizza,3.5,1590,$$,40.74402392662861,-74.0064220257327,italian,restaurants
Chelsea,Le Grainne Cafe,3.5,612,$$,40.7454064780449,-74.00240267049591,french,restaurants
Chelsea,Kobeyaki,4.0,541,$$,40.7462138,-73.99388,japanese,restaurants
Chelsea,Ovest Pizzoteca by Luzzo's,4.0,526,$$,40.7507476806641,-74.0030212402344,pizza,restaurants
Chelsea,OCabanon,4.0,430,$$,40.7486725,-73.99451450000001,french,restaurants
Chelsea,Death Ave,4.0,590,$$,40.751059999999995,-74.00193,greek,restaurants
Chelsea,Dil-e Punjab Deli,4.5,195,$,40.744820000000004,-74.00206,indpak,restaurants
Chelsea,aRoqa,4.0,277,$$,40.746065,-74.001254,indpak,restaurants
Chelsea,Murray's Bagels,3.5,806,$,40.744758000000004,-73.998535,bagels,food
Chelsea,La Bergamote NYC,4.0,337,$$,40.745044,-74.002863,french,restaurants
Chelsea,Bodega Negra,3.5,679,$$$,40.742141436418294,-74.0035781860352,mexican,restaurants
Chelsea,El Cocotero,3.5,534,$$,40.74149,-73.99937,venezuelan,latin
Chelsea,Miznon,4.0,342,$$,40.742575,-74.006206,mediterranean,restaurants
Chelsea,B&B Restaurant Corporation,4.5,147,$,40.7459112,-73.99360859999999,african,restaurants
Chelsea,Ushiwakamaru,4.0,171,$$$$,40.7461547329618,-74.00092343164191,japanese,restaurants
Chelsea,Old Homestead Steak House,3.5,1035,$$$$,40.741209999999995,-74.00477,steak,restaurants
Chelsea,Mexicue,4.0,405,$$,40.742020000000004,-74.00046,mexican,restaurants
Chelsea,Haymaker Bar and Kitchen,4.0,341,$$,40.74875084963929,-73.995229748466,gastropubs,restaurants
Chelsea,Zia Maria - Chelsea,4.0,230,$$,40.745486299999996,-73.9993392,italian,restaurants
Chelsea,The Wilson,4.5,169,,40.745870000000004,-73.99265,newamerican,restaurants
Chelsea,Fonda Chelsea,3.5,336,$$,40.7455185879981,-74.0021848849335,mexican,restaurants
Chelsea,Num Pang Kitchen,4.0,320,$$,40.742425085765795,-74.0061251304857,cambodian,restaurants
Chelsea,Buddakan,4.0,3971,$$$,40.7422762672197,-74.0048000961542,chinese,restaurants
Chelsea,Bar Suzette,4.0,279,$,40.742226662611706,-74.0060796257015,creperies,restaurants
Chelsea,Friedman's Lunch,3.5,591,$$,40.742631819700705,-74.0062284491822,breakfast_brunch,restaurants
Chelsea,Maru 2,4.5,125,$,40.7416362670334,-74.00073600629091,japanese,restaurants
Chelsea,Sullivan Street Bakery,3.5,277,$$,40.74741034571979,-74.0005904621599,bakeries,food
Chelsea,Omai,4.0,265,$$,40.744289,-74.002563,vietnamese,restaurants
Chelsea,A Little Taste,4.5,97,$,40.746735,-73.99261800000001,cafes,restaurants
Chelsea,LR - Lasagna Restaurant,3.5,508,$$,40.74324179999999,-73.99969159999999,italian,restaurants
Chelsea,Amy's Bread,4.0,322,$,40.742231583370106,-74.005732430619,bakeries,food
Chelsea,Pisillo Italian Panini - Chelsea,5.0,59,$$,40.74455,-73.99299,delis,restaurants
Chelsea,Lucky's Famous Burgers,3.5,313,$$,40.744938,-73.9982384,burgers,restaurants
Chelsea,RARE Bar & Grill,3.5,438,$$,40.7456481524059,-73.99376146479979,burgers,restaurants
Chelsea,Brine,4.5,120,$$,40.740590000000005,-74.00169,chickenshop,restaurants
Chelsea,Grand Sichuan,3.5,451,$$,40.747413,-74.001052,chinese,restaurants
Chelsea,Fishing Restaurant Zauo,4.0,247,,40.7444,-73.99455,seafood,restaurants
Chelsea,Rin Thai,3.5,365,$$,40.74524,-73.99764,thai,restaurants
Chelsea,Kahlo,4.5,108,$$$,40.752092,-74.0026757,mexican,restaurants
Chelsea,Great Burrito,4.0,246,$,40.7428322,-73.9930115,pizza,restaurants
Chelsea,Ajisen Ramen,3.5,419,$$,40.74661,-73.9921,ramen,japanese
Chelsea,Creamline,3.5,332,$$,40.7426136986425,-74.0057623780487,burgers,restaurants
Chelsea,Som Bo,4.0,212,$$,40.74192,-74.00135999999999,asianfusion,restaurants
Chelsea,FLÉ-FLÉ Grill,4.5,111,$,40.74508,-73.99843,mideastern,restaurants
Chelsea,GLUR Thai,4.5,76,$$,40.741209999999995,-73.99665,thai,restaurants
Chelsea,Le Zie,3.5,306,$$,40.742459999999994,-73.9970699,italian,restaurants
Chelsea,Counter & Bodega,4.5,94,$$,40.7449689,-73.9982137300407,tapas,restaurants
Chelsea,Chop Shop,3.5,237,$$,40.7486687,-74.0031128,asianfusion,restaurants
Chelsea,Zagara Ristorante Italiano,4.0,198,$$,40.743835,-73.996088,italian,restaurants
Chelsea,Bottino Take-Out,4.0,122,$$,40.74854119428,-74.0035200119019,sandwiches,restaurants
Chelsea,Milk and Hops,4.5,95,$$,40.7446831,-74.0023905374366,cheese,gourmet
Chelsea,The Commons Chelsea,4.0,226,$$,40.74102,-73.99829,cafes,restaurants
Chelsea,Pizza Italia,4.0,220,$,40.7419889767239,-74.00194582497491,italian,restaurants
Chelsea,Taco Bandito,3.5,203,$,40.7474763497109,-73.9971551748688,tacos,mexican
Chelsea,Mercado Little Spain,3.5,339,$$,40.752435,-74.001475,spanish,restaurants
Chelsea,Lombardi's pizza,4.0,141,$$,40.74623,-73.9974,pizza,restaurants
Chelsea,CHARM'S,4.0,123,$$,40.74346,-73.99947,thai,restaurants
Chelsea,Chirp,4.5,103,$$,40.75339,-73.99591,peruvian,restaurants
Chelsea,Whitmans Hudson Yards,4.0,202,$$,40.751715999999995,-74.001579,burgers,restaurants
Chelsea,Claudio Pizzeria,4.0,99,$,40.747584499999995,-73.996619,pizza,restaurants
Chelsea,New York Burger,3.5,263,$$,40.747502005728,-74.004090705219,burgers,restaurants
Chelsea,Milanes Spanish Restaurant,4.0,124,$,40.7450752258301,-73.99444580078121,spanish,restaurants
Chelsea,Zizi,4.5,63,,40.74293,-74.00001999999999,mediterranean,restaurants
Chelsea,Dallas BBQ,3.0,656,$$,40.74569,-73.99843,bbq,restaurants
Chelsea,B&D Halal Food,4.5,81,$,40.7477911583293,-73.99239413939542,african,restaurants
Chelsea,Le Singe,3.5,243,$$,40.742311,-73.997587,french,restaurants
Chelsea,Liberty Bagels Midtown,4.5,485,$,40.75255,-73.99249,breakfast_brunch,restaurants
Chelsea,Sergimmo Salumeria,4.0,673,$$,40.754296000000004,-73.995498,italian,restaurants
Chelsea,The Pho 2,3.5,168,$$,40.7457768,-73.9983051,vietnamese,restaurants
Chelsea,Okuda,5.0,35,$$$$,40.743792936304395,-74.00639842069809,japanese,restaurants
Chelsea,Cookshop,4.0,2095,$$,40.7454251,-74.0056084,newamerican,restaurants
Chelsea,Sushi Seki - Chelsea,3.5,164,$$$,40.744232200000006,-73.996266,sushi,restaurants
Chelsea,Highline Pizza,4.0,140,$,40.751049,-74.00205229999999,pizza,restaurants
Chelsea,Burger Inc - New York,4.0,108,$$,40.740851,-74.004695,tradamerican,restaurants
Chelsea,Takumi Taco,3.5,226,$$,40.742329544807795,-74.0061442013275,japanese,restaurants
Chelsea,The Lobster Place,4.0,1315,$$,40.742741390521296,-74.00601180577041,seafoodmarkets,gourmet
Chelsea,BRGR,3.0,630,$$,40.746078000000004,-73.993797,burgers,restaurants
Chelsea,Jack's Wife Freda,4.0,147,$$,40.74091,-74.00146,breakfast_brunch,restaurants
Chelsea,Hana Sushi,3.5,211,$$,40.743446,-73.995788,japanese,restaurants
Chelsea,Peter McManus Cafe,3.5,176,$$,40.7418632507324,-73.9976501464844,cafes,restaurants
Chelsea,Queensyard,3.5,217,$$$,40.7533572,-74.0002527,british,restaurants
Chelsea,Seamore's,3.5,192,$$,40.742470000000004,-74.0009,seafood,restaurants
Chelsea,Terri,4.0,859,$$,40.74252,-73.9923,sandwiches,restaurants
Chelsea,Champignon,3.5,253,$$,40.74349,-73.99643,breakfast_brunch,restaurants
Chelsea,Boqueria Flatiron,4.0,1244,$$$,40.74029277262979,-73.99407098100791,spanish,restaurants
Chelsea,Gotham Pizza,3.5,160,$,40.743809999999996,-74.00295,pizza,restaurants
Chelsea,NY Gyro Xpress,4.0,116,$$,40.74194,-74.0007,mediterranean,restaurants
Chelsea,The Dish,3.5,214,$$,40.74373,-74.0,tradamerican,restaurants
Chelsea,Don Giovanni Ristorante,3.5,288,$$,40.747213800027104,-74.0042828600478,italian,restaurants
Chelsea,Empire Diner,3.5,208,$$,40.74722,-74.00429,diners,restaurants
Chelsea,Il Piccolo Ristoro,4.5,45,,40.750932500000005,-74.0024906,cafes,restaurants
Chelsea,Pad Thai Noodle Lounge,3.5,317,$$,40.7408371121571,-74.0014776911789,thai,restaurants
Chelsea,by CHLOE,4.0,777,$$,40.74197,-73.99292,salad,restaurants
Chelsea,Non Solo Piada,4.5,341,$$,40.75414,-73.99245,italian,restaurants
Chelsea,Johny's Luncheonette,4.5,969,$,40.7444458007812,-73.9930725097656,tradamerican,restaurants
Chelsea,Chelsea Square Restaurant,3.5,215,$$,40.746208190918004,-74.0012741088867,diners,restaurants
Chelsea,Jun-Men Ramen Bar,4.0,622,$$,40.748209,-74.00046999999999,ramen,japanese
Chelsea,Skylight Diner,3.0,517,$$,40.7533794,-73.9967919,tradamerican,restaurants
Chelsea,Thai Sliders & Co,4.0,94,$$,40.741944200000006,-74.0007071,thai,restaurants
Chelsea,Hemispheres,4.5,35,$,40.741687387720205,-74.0039697809188,cafes,restaurants
Chelsea,Chelsea Ristorante,3.5,176,$$,40.7405719,-74.00172380000001,italian,restaurants
Chelsea,Berlin Currywurst,4.0,110,$$,40.74222,-74.00466,german,restaurants
Chelsea,Le Song,3.5,168,$$,40.74222,-74.00466,french,restaurants
Chelsea,Gigi Cafe,3.5,209,$,40.74687,-73.99342,diners,restaurants
Chelsea,Between the Bread,4.0,60,$$,40.7515866154803,-74.00547796464829,salad,restaurants
Chelsea,Asuka Sushi,4.0,944,$$,40.745290000000004,-73.99888,japanese,restaurants
Chelsea,The Grey Dog,4.0,1106,$$,40.740624,-74.000648,breakfast_brunch,restaurants
Chelsea,Big Mozz,4.0,80,,40.74222,-74.00466,foodstands,restaurants
Chelsea,SushiNao,4.0,57,,40.74196,-74.00159000000001,sushi,restaurants
Chelsea,Cappone's Salumeria,4.0,67,$$,40.742106,-74.005587,italian,restaurants
Chelsea,Electric Lemon,4.0,84,$$$,40.754553,-74.002057,newamerican,restaurants
Chelsea,Purple Rice Korean Kitchen,4.0,194,$$,40.74964,-73.99466,korean,restaurants
Chelsea,Ayada Thai - Chelsea Market,4.0,61,,40.74222,-74.00466,thai,restaurants
Chelsea,Middle Eats,4.0,69,$,40.74412,-73.9953,mediterranean,restaurants
Chelsea,Cafe Riazor,3.5,110,$$,40.740829999999995,-74.00041,spanish,restaurants
Chelsea,Salinas,4.0,921,$$$$,40.7436999,-74.00314,spanish,restaurants
Chelsea,Resca,4.5,59,$$,40.7410115,-74.0048657,italian,restaurants
Chelsea,BXL Zoute,4.0,405,$$,40.74174,-73.992627,belgian,restaurants
Chelsea,Catch Steak,3.5,145,$$$$,40.74244,-74.00386999999999,steak,restaurants
Chelsea,Tia Pol,4.0,700,$$,40.7473,-74.00480999999999,tapas,restaurants
Chelsea,Kame Ramen,4.5,392,$$,40.7474881059799,-73.996648862958,ramen,japanese
Chelsea,Just Pho,4.0,169,$$,40.74989,-73.99425,vietnamese,restaurants
Chelsea,Go! Go! Curry!,3.5,107,$$,40.741209999999995,-73.99665,japacurry,japanese
Chelsea,Sushi by Bou Flatiron,4.5,266,$$$,40.74094,-73.9937,japanese,restaurants
Chelsea,Lz Sushi,3.5,93,$,40.748259999999995,-73.99239,sushi,restaurants
Chelsea,Socarrat Paella Bar - Chelsea,4.0,1132,$$$,40.742720399999996,-73.9995147,spanish,restaurants
Chelsea,Chelsea Papaya,3.5,130,$,40.7441735851668,-73.99533357520549,hotdog,restaurants
Chelsea,The Rail Line Diner,3.5,109,$$,40.74647,-74.00166999999999,diners,restaurants
Chelsea,Bite,4.0,317,$,40.741890000000005,-73.99305,salad,restaurants
Chelsea,Salumeria Biellese Delicatessen,3.5,88,$,40.7489182792682,-73.9956529363332,delis,restaurants
Chelsea,Sushi ZAUO,4.5,24,,40.744339399999994,-73.9946005,sushi,restaurants
Chelsea,Restivo Ristorante,3.5,118,$$,40.7434605855724,-73.9959991865082,italian,restaurants
Chelsea,American Whiskey,3.5,326,$$,40.7493,-73.99414,newamerican,restaurants
Chelsea,Panera Bread,3.0,177,$$,40.7477243197283,-73.9932862510295,sandwiches,restaurants
Chelsea,Grimaldi's,3.5,746,$$,40.7412157,-73.9938935,pizza,restaurants
Chelsea,Breakfast Burritos El Donkey,4.5,23,$,40.7421586,-74.00470990000001,mexican,restaurants
Chelsea,Qanoon,4.0,63,$$,40.74524,-74.00202,mideastern,restaurants
Chelsea,Filaga Pizzeria,3.5,88,$,40.74222,-74.00466,pizza,restaurants
Chelsea,Memo Shish Kebab,3.5,105,,40.742847999999995,-73.99318000000001,turkish,restaurants
